fromId,toId,car_under_15,car_fifteen_29,car_thirty_44,car_forty5_plus,public_under_15,public_fifteen_29,public_thirty_44,public_forty5_plus,fhv_under_15,fhv_fifteen_29,fhv_thirty_44,fhv_forty5_plus,walk_under_15,walk_fifteen_29,walk_thirty_44,walk_forty5_plus,bike_under_15,bike_fifteen_29,bike_thirty_44,bike_forty5_plus
BX0902,BX0902,31,44,38,13,94,131,112,37,16,23,19,6,16,23,19,6,4,6,5,2
BX0902,BX0902,60,85,73,24,180,252,216,72,31,43,37,12,31,43,37,12,8,11,9,3
BX0991,BX0991,60,85,73,24,180,252,216,72,31,43,37,12,31,43,37,12,8,11,9,3
BX0902,BX0902,31,43,37,12,92,129,111,37,16,22,19,6,16,22,19,6,4,6,5,2
BX0902,BX0902,25,35,30,10,74,103,88,29,13,18,15,5,13,18,15,5,3,4,4,1
BX0902,BX0902,33,46,40,13,98,138,118,39,17,24,20,7,17,24,20,7,4,6,5,2
BX0903,BX0903,33,46,40,13,98,138,118,39,17,24,20,7,17,24,20,7,4,6,5,2
BX0902,BX0902,72,101,87,29,214,300,257,86,37,52,44,15,37,52,44,15,9,13,11,4
BX0902,BX0902,14,19,16,5,40,56,48,16,7,10,8,3,7,10,8,3,2,2,2,1
BX0903,BX0903,14,19,16,5,40,56,48,16,7,10,8,3,7,10,8,3,2,2,2,1
BX0902,BX0902,42,59,50,17,125,175,150,50,22,30,26,9,22,30,26,9,5,8,6,2
BX0902,BX0902,19,26,22,7,55,77,66,22,10,13,11,4,10,13,11,4,2,3,3,1
BX0902,BX0902,15,21,18,6,46,64,55,18,8,11,9,3,8,11,9,3,2,3,2,1
BX0903,BX0903,15,21,18,6,46,64,55,18,8,11,9,3,8,11,9,3,2,3,2,1
BX0902,BX0902,24,33,28,9,71,99,85,28,12,17,15,5,12,17,15,5,3,4,4,1
BX0903,BX0903,24,33,28,9,71,99,85,28,12,17,15,5,12,17,15,5,3,4,4,1
BX0101,BX0101,50,70,60,20,148,208,178,59,26,36,31,10,26,36,31,10,6,9,8,3
BX0101,BX0101,44,61,52,17,129,181,155,52,22,31,27,9,22,31,27,9,6,8,7,2
BX0902,BX0902,26,36,31,10,77,108,93,31,13,19,16,5,13,19,16,5,3,5,4,1
BX0991,BX0991,26,36,31,10,77,108,93,31,13,19,16,5,13,19,16,5,3,5,4,1
BX0902,BX0902,6,8,7,2,17,24,20,7,3,4,4,1,3,4,4,1,1,1,1,0
BX0991,BX0991,6,8,7,2,17,24,20,7,3,4,4,1,3,4,4,1,1,1,1,0
BX0902,BX0902,8,11,10,3,24,34,29,10,4,6,5,2,4,6,5,2,1,1,1,0
BX0902,BX0902,4,5,4,1,11,15,13,4,2,3,2,1,2,3,2,1,0,1,1,0
BX0902,BX0902,33,46,39,13,97,135,116,39,17,23,20,7,17,23,20,7,4,6,5,2
BX0902,BX0902,19,26,22,7,55,77,66,22,10,13,11,4,10,13,11,4,2,3,3,1
BX0101,BX0101,21,29,25,8,62,87,75,25,11,15,13,4,11,15,13,4,3,4,3,1
BX0101,BX0101,8,11,10,3,24,33,28,9,4,6,5,2,4,6,5,2,1,1,1,0
BX0101,BX0101,19,26,22,7,55,77,66,22,10,13,11,4,10,13,11,4,2,3,3,1
BX0101,BX0101,27,38,33,11,82,114,98,33,14,20,17,6,14,20,17,6,4,5,4,1
BX0101,BX0101,15,21,18,6,44,62,53,18,8,11,9,3,8,11,9,3,2,3,2,1
BX0101,BX0101,18,25,22,7,54,75,64,21,9,13,11,4,9,13,11,4,2,3,3,1
BX0101,BX0101,27,38,33,11,81,113,97,32,14,20,17,6,14,20,17,6,3,5,4,1
BX0101,BX0101,6,9,7,2,19,26,22,7,3,4,4,1,3,4,4,1,1,1,1,0
BX0101,BX0101,16,22,19,6,47,66,57,19,8,11,10,3,8,11,10,3,2,3,2,1
BX0101,BX0101,18,25,21,7,53,74,63,21,9,13,11,4,9,13,11,4,2,3,3,1
BX0101,BX0101,23,33,28,9,69,97,83,28,12,17,14,5,12,17,14,5,3,4,4,1
BX0101,BX0101,8,12,10,3,25,35,30,10,4,6,5,2,4,6,5,2,1,2,1,0
BX0101,BX0101,20,28,24,8,59,82,71,24,10,14,12,4,10,14,12,4,3,4,3,1
BX0101,BX0101,23,32,27,9,68,95,82,27,12,16,14,5,12,16,14,5,3,4,4,1
BX0201,BX0201,29,41,35,12,86,121,104,35,15,21,18,6,15,21,18,6,4,5,4,1
BX0901,BX0901,29,41,35,12,86,121,104,35,15,21,18,6,15,21,18,6,4,5,4,1
BX0991,BX0991,29,41,35,12,86,121,104,35,15,21,18,6,15,21,18,6,4,5,4,1
BX0901,BX0901,32,44,38,13,94,132,113,38,16,23,20,7,16,23,20,7,4,6,5,2
BX0991,BX0991,32,44,38,13,94,132,113,38,16,23,20,7,16,23,20,7,4,6,5,2
BX0901,BX0901,17,24,21,7,51,72,62,21,9,12,11,4,9,12,11,4,2,3,3,1
BX0991,BX0991,17,24,21,7,51,72,62,21,9,12,11,4,9,12,11,4,2,3,3,1
BX0901,BX0901,37,52,45,15,110,155,133,44,19,27,23,8,19,27,23,8,5,7,6,2
BX0991,BX0991,37,52,45,15,110,155,133,44,19,27,23,8,19,27,23,8,5,7,6,2
BX0101,BX0101,50,71,60,20,150,210,180,60,26,36,31,10,26,36,31,10,6,9,8,3
BX0102,BX0102,50,71,60,20,150,210,180,60,26,36,31,10,26,36,31,10,6,9,8,3
BX0202,BX0202,50,71,60,20,150,210,180,60,26,36,31,10,26,36,31,10,6,9,8,3
BX0101,BX0101,11,16,13,4,33,46,40,13,6,8,7,2,6,8,7,2,1,2,2,1
BX0101,BX0101,16,22,19,6,47,66,57,19,8,11,10,3,8,11,10,3,2,3,2,1
BX0101,BX0101,20,28,24,8,60,84,72,24,10,15,12,4,10,15,12,4,3,4,3,1
BX0101,BX0101,14,19,16,5,40,56,48,16,7,10,8,3,7,10,8,3,2,2,2,1
BX0101,BX0101,13,18,16,5,38,54,46,15,7,9,8,3,7,9,8,3,2,2,2,1
BX0102,BX0102,13,18,16,5,38,54,46,15,7,9,8,3,7,9,8,3,2,2,2,1
BX0101,BX0101,26,36,31,10,76,106,91,30,13,18,16,5,13,18,16,5,3,5,4,1
BX0102,BX0102,26,36,31,10,76,106,91,30,13,18,16,5,13,18,16,5,3,5,4,1
BX0101,BX0101,4,5,5,2,12,16,14,5,2,3,2,1,2,3,2,1,0,1,1,0
BX0102,BX0102,4,5,5,2,12,16,14,5,2,3,2,1,2,3,2,1,0,1,1,0
BX0902,BX0902,13,18,15,5,38,54,46,15,7,9,8,3,7,9,8,3,2,2,2,1
BX0101,BX0101,31,44,38,13,94,131,112,37,16,23,19,6,16,23,19,6,4,6,5,2
BX0101,BX0101,17,24,20,7,51,71,61,20,9,12,10,3,9,12,10,3,2,3,3,1
BX0101,BX0101,43,60,52,17,128,179,153,51,22,31,26,9,22,31,26,9,6,8,7,2
BX0101,BX0101,11,15,13,4,32,45,39,13,6,8,7,2,6,8,7,2,1,2,2,1
BX0101,BX0101,16,23,19,6,48,67,57,19,8,12,10,3,8,12,10,3,2,3,2,1
BX0902,BX0902,25,34,29,10,73,102,88,29,13,18,15,5,13,18,15,5,3,4,4,1
BX0903,BX0903,25,34,29,10,73,102,88,29,13,18,15,5,13,18,15,5,3,4,4,1
BX0101,BX0101,28,39,33,11,83,116,99,33,14,20,17,6,14,20,17,6,4,5,4,1
BX0101,BX0101,21,30,26,9,64,89,76,25,11,15,13,4,11,15,13,4,3,4,3,1
BX0101,BX0101,7,10,8,3,20,28,24,8,4,5,4,1,4,5,4,1,1,1,1,0
BX0101,BX0101,26,37,32,11,79,110,94,31,14,19,16,5,14,19,16,5,3,5,4,1
BX0902,BX0902,25,34,30,10,73,103,88,29,13,18,15,5,13,18,15,5,3,4,4,1
BX0902,BX0902,14,20,17,6,42,58,50,17,7,10,9,3,7,10,9,3,2,3,2,1
BX0901,BX0901,30,42,36,12,89,124,107,36,15,21,18,6,15,21,18,6,4,5,5,2
BX0902,BX0902,30,42,36,12,89,124,107,36,15,21,18,6,15,21,18,6,4,5,5,2
BX0903,BX0903,30,42,36,12,89,124,107,36,15,21,18,6,15,21,18,6,4,5,5,2
BX0902,BX0902,40,56,48,16,119,166,142,47,20,29,25,8,20,29,25,8,5,7,6,2
BX0902,BX0902,31,43,37,12,91,127,109,36,16,22,19,6,16,22,19,6,4,5,5,2
BX0902,BX0902,10,15,13,4,31,44,37,12,5,8,6,2,5,8,6,2,1,2,2,1
BX0101,BX0101,17,23,20,7,49,69,59,20,8,12,10,3,8,12,10,3,2,3,3,1
BX0102,BX0102,17,23,20,7,49,69,59,20,8,12,10,3,8,12,10,3,2,3,3,1
BX0101,BX0101,19,27,23,8,58,81,69,23,10,14,12,4,10,14,12,4,2,3,3,1
BX0102,BX0102,19,27,23,8,58,81,69,23,10,14,12,4,10,14,12,4,2,3,3,1
BX0101,BX0101,15,21,18,6,44,62,53,18,8,11,9,3,8,11,9,3,2,3,2,1
BX0101,BX0101,14,20,17,6,41,58,50,17,7,10,9,3,7,10,9,3,2,3,2,1
BX0901,BX0901,11,15,13,4,32,44,38,13,5,8,7,2,5,8,7,2,1,2,2,1
BX0902,BX0902,11,15,13,4,32,44,38,13,5,8,7,2,5,8,7,2,1,2,2,1
BX0901,BX0901,4,6,5,2,12,17,15,5,2,3,3,1,2,3,3,1,1,1,1,0
BX0901,BX0901,23,32,27,9,67,94,81,27,12,16,14,5,12,16,14,5,3,4,3,1
BX0902,BX0902,23,32,27,9,67,94,81,27,12,16,14,5,12,16,14,5,3,4,3,1
BX0903,BX0903,23,32,27,9,67,94,81,27,12,16,14,5,12,16,14,5,3,4,3,1
BX0901,BX0901,12,16,14,5,34,48,41,14,6,8,7,2,6,8,7,2,1,2,2,1
BX0902,BX0902,12,16,14,5,34,48,41,14,6,8,7,2,6,8,7,2,1,2,2,1
BX0991,BX0991,12,16,14,5,34,48,41,14,6,8,7,2,6,8,7,2,1,2,2,1
BX0902,BX0902,24,33,28,9,70,99,85,28,12,17,15,5,12,17,15,5,3,4,4,1
BX0991,BX0991,24,33,28,9,70,99,85,28,12,17,15,5,12,17,15,5,3,4,4,1
BX0901,BX0901,34,48,41,14,103,144,123,41,18,25,21,7,18,25,21,7,4,6,5,2
BX0901,BX0901,39,55,47,16,117,164,140,47,20,28,24,8,20,28,24,8,5,7,6,2
BX0991,BX0991,39,55,47,16,117,164,140,47,20,28,24,8,20,28,24,8,5,7,6,2
BX0901,BX0901,9,12,10,3,25,36,30,10,4,6,5,2,4,6,5,2,1,2,1,0
BX0901,BX0901,24,34,29,10,72,100,86,29,12,17,15,5,12,17,15,5,3,4,4,1
BX0901,BX0901,9,12,10,3,26,36,31,10,4,6,5,2,4,6,5,2,1,2,1,0
BX0901,BX0901,19,27,23,8,58,81,69,23,10,14,12,4,10,14,12,4,2,3,3,1
BX0901,BX0901,30,42,36,12,90,125,108,36,15,22,19,6,15,22,19,6,4,5,5,2
BX0901,BX0901,22,31,27,9,67,94,80,27,12,16,14,5,12,16,14,5,3,4,3,1
BX0901,BX0901,26,36,31,10,77,108,92,31,13,19,16,5,13,19,16,5,3,5,4,1
BX0901,BX0901,22,31,27,9,66,92,79,26,11,16,14,5,11,16,14,5,3,4,3,1
BX0101,BX0101,8,11,10,3,24,33,29,10,4,6,5,2,4,6,5,2,1,1,1,0
BX0401,BX0401,8,11,10,3,24,33,29,10,4,6,5,2,4,6,5,2,1,1,1,0
BX0101,BX0101,39,54,46,15,115,161,138,46,20,28,24,8,20,28,24,8,5,7,6,2
BX0102,BX0102,39,54,46,15,115,161,138,46,20,28,24,8,20,28,24,8,5,7,6,2
BX0101,BX0101,26,37,31,10,78,109,93,31,13,19,16,5,13,19,16,5,3,5,4,1
BX0102,BX0102,26,37,31,10,78,109,93,31,13,19,16,5,13,19,16,5,3,5,4,1
BX0201,BX0201,14,19,16,5,40,57,49,16,7,10,8,3,7,10,8,3,2,2,2,1
BX0303,BX0303,14,19,16,5,40,57,49,16,7,10,8,3,7,10,8,3,2,2,2,1
BX0901,BX0901,14,19,16,5,40,57,49,16,7,10,8,3,7,10,8,3,2,2,2,1
BX0901,BX0901,15,21,18,6,45,64,54,18,8,11,9,3,8,11,9,3,2,3,2,1
BX0501,BX0501,34,47,40,13,100,140,120,40,17,24,21,7,17,24,21,7,4,6,5,2
BX0501,BX0501,25,35,30,10,75,105,90,30,13,18,16,5,13,18,16,5,3,5,4,1
BX0901,BX0901,13,18,15,5,38,53,45,15,7,9,8,3,7,9,8,3,2,2,2,1
BX0901,BX0901,51,71,61,20,151,212,181,60,26,36,31,10,26,36,31,10,7,9,8,3
BX0303,BX0303,15,21,18,6,45,63,54,18,8,11,9,3,8,11,9,3,2,3,2,1
BX0901,BX0901,15,21,18,6,45,63,54,18,8,11,9,3,8,11,9,3,2,3,2,1
BX0901,BX0901,14,19,17,6,41,58,50,17,7,10,9,3,7,10,9,3,2,2,2,1
BX0901,BX0901,16,23,20,7,49,68,58,19,8,12,10,3,8,12,10,3,2,3,3,1
BX0901,BX0901,20,29,24,8,61,85,73,24,10,15,13,4,10,15,13,4,3,4,3,1
BX0303,BX0303,12,17,14,5,35,49,42,14,6,8,7,2,6,8,7,2,2,2,2,1
BX0601,BX0601,12,17,14,5,35,49,42,14,6,8,7,2,6,8,7,2,2,2,2,1
BX0901,BX0901,12,17,14,5,35,49,42,14,6,8,7,2,6,8,7,2,2,2,2,1
BX0401,BX0401,31,43,37,12,91,127,109,36,16,22,19,6,16,22,19,6,4,5,5,2
BX0401,BX0401,29,41,35,12,86,121,104,35,15,21,18,6,15,21,18,6,4,5,4,1
BX0601,BX0601,18,26,22,7,54,76,65,22,9,13,11,4,9,13,11,4,2,3,3,1
BX0901,BX0901,18,26,22,7,54,76,65,22,9,13,11,4,9,13,11,4,2,3,3,1
BX1101,BX1101,18,26,22,7,54,76,65,22,9,13,11,4,9,13,11,4,2,3,3,1
BX0401,BX0401,61,85,73,24,181,253,217,72,31,44,37,12,31,44,37,12,8,11,9,3
BX0401,BX0401,20,27,23,8,58,81,70,23,10,14,12,4,10,14,12,4,3,4,3,1
BX0601,BX0601,9,13,11,4,27,38,33,11,5,7,6,2,5,7,6,2,1,2,1,0
BX0901,BX0901,9,13,11,4,27,38,33,11,5,7,6,2,5,7,6,2,1,2,1,0
BX0601,BX0601,27,38,33,11,81,114,98,33,14,20,17,6,14,20,17,6,4,5,4,1
BX0901,BX0901,27,38,33,11,81,114,98,33,14,20,17,6,14,20,17,6,4,5,4,1
BX0601,BX0601,21,29,25,8,62,86,74,25,11,15,13,4,11,15,13,4,3,4,3,1
BX0901,BX0901,21,29,25,8,62,86,74,25,11,15,13,4,11,15,13,4,3,4,3,1
BX0901,BX0901,21,30,25,8,63,88,76,25,11,15,13,4,11,15,13,4,3,4,3,1
BX0901,BX0901,7,9,8,3,20,28,24,8,3,5,4,1,3,5,4,1,1,1,1,0
BX0401,BX0401,19,27,23,8,58,81,69,23,10,14,12,4,10,14,12,4,2,3,3,1
BX0491,BX0491,19,27,23,8,58,81,69,23,10,14,12,4,10,14,12,4,2,3,3,1
BX0401,BX0401,24,34,29,10,73,102,87,29,13,18,15,5,13,18,15,5,3,4,4,1
BX0491,BX0491,24,34,29,10,73,102,87,29,13,18,15,5,13,18,15,5,3,4,4,1
BX0401,BX0401,10,14,12,4,31,43,37,12,5,7,6,2,5,7,6,2,1,2,2,1
BX0401,BX0401,80,112,96,32,237,332,285,95,41,57,49,16,41,57,49,16,10,14,12,4
BX0101,BX0101,4,6,5,2,13,19,16,5,2,3,3,1,2,3,3,1,1,1,1,0
BX0401,BX0401,4,6,5,2,13,19,16,5,2,3,3,1,2,3,3,1,1,1,1,0
BX0401,BX0401,3,4,3,1,8,11,9,3,1,2,2,1,1,2,2,1,0,0,0,0
BX0402,BX0402,3,4,3,1,8,11,9,3,1,2,2,1,1,2,2,1,0,0,0,0
BX0491,BX0491,3,4,3,1,8,11,9,3,1,2,2,1,1,2,2,1,0,0,0,0
BX0901,BX0901,28,39,33,11,83,116,99,33,14,20,17,6,14,20,17,6,4,5,4,1
BX0901,BX0901,15,21,18,6,44,62,53,18,8,11,9,3,8,11,9,3,2,3,2,1
BX0901,BX0901,5,7,6,2,16,22,19,6,3,4,3,1,3,4,3,1,1,1,1,0
BX0901,BX0901,6,9,7,2,18,26,22,7,3,4,4,1,3,4,4,1,1,1,1,0
BX0101,BX0101,18,26,22,7,55,77,66,22,9,13,11,4,9,13,11,4,2,3,3,1
BX0102,BX0102,18,26,22,7,55,77,66,22,9,13,11,4,9,13,11,4,2,3,3,1
BX0401,BX0401,18,26,22,7,55,77,66,22,9,13,11,4,9,13,11,4,2,3,3,1
BX0102,BX0102,42,59,51,17,125,175,150,50,22,30,26,9,22,30,26,9,5,8,6,2
BX0401,BX0401,42,59,51,17,125,175,150,50,22,30,26,9,22,30,26,9,5,8,6,2
BX0102,BX0102,10,14,12,4,30,42,36,12,5,7,6,2,5,7,6,2,1,2,2,1
BX0101,BX0101,0,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
BX0102,BX0102,0,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
BX0102,BX0102,20,28,24,8,60,84,72,24,10,14,12,4,10,14,12,4,3,4,3,1
BX0102,BX0102,7,10,8,3,21,29,25,8,4,5,4,1,4,5,4,1,1,1,1,0
BX0401,BX0401,7,10,8,3,21,29,25,8,4,5,4,1,4,5,4,1,1,1,1,0
BX0102,BX0102,27,37,32,11,79,110,95,32,14,19,16,5,14,19,16,5,3,5,4,1
BX0102,BX0102,20,28,24,8,60,84,72,24,10,14,12,4,10,14,12,4,3,4,3,1
BX0102,BX0102,21,29,25,8,62,87,75,25,11,15,13,4,11,15,13,4,3,4,3,1
BX0901,BX0901,19,26,22,7,56,78,67,22,10,13,11,4,10,13,11,4,2,3,3,1
BX0901,BX0901,3,4,4,1,9,13,11,4,2,2,2,1,2,2,2,1,0,1,0,0
BX0901,BX0901,10,14,12,4,29,41,35,12,5,7,6,2,5,7,6,2,1,2,2,1
BX0102,BX0102,43,60,52,17,128,179,153,51,22,31,26,9,22,31,26,9,6,8,7,2
BX0301,BX0301,43,60,52,17,128,179,153,51,22,31,26,9,22,31,26,9,6,8,7,2
BX0102,BX0102,17,23,20,7,50,69,60,20,9,12,10,3,9,12,10,3,2,3,3,1
BX0301,BX0301,17,23,20,7,50,69,60,20,9,12,10,3,9,12,10,3,2,3,3,1
BX0401,BX0401,17,23,20,7,50,69,60,20,9,12,10,3,9,12,10,3,2,3,3,1
BX0102,BX0102,23,33,28,9,69,97,83,28,12,17,14,5,12,17,14,5,3,4,4,1
BX0401,BX0401,23,33,28,9,69,97,83,28,12,17,14,5,12,17,14,5,3,4,4,1
BX0102,BX0102,21,29,25,8,61,86,74,25,11,15,13,4,11,15,13,4,3,4,3,1
BX0401,BX0401,21,29,25,8,61,86,74,25,11,15,13,4,11,15,13,4,3,4,3,1
BX0901,BX0901,34,47,40,13,100,140,120,40,17,24,21,7,17,24,21,7,4,6,5,2
BX0903,BX0903,34,47,40,13,100,140,120,40,17,24,21,7,17,24,21,7,4,6,5,2
BX0901,BX0901,16,23,20,7,49,68,58,19,8,12,10,3,8,12,10,3,2,3,3,1
BX0901,BX0901,12,16,14,5,34,48,41,14,6,8,7,2,6,8,7,2,1,2,2,1
BX0903,BX0903,12,16,14,5,34,48,41,14,6,8,7,2,6,8,7,2,1,2,2,1
BX0102,BX0102,21,30,25,8,63,88,76,25,11,15,13,4,11,15,13,4,3,4,3,1
BX0301,BX0301,21,30,25,8,63,88,76,25,11,15,13,4,11,15,13,4,3,4,3,1
BX0101,BX0101,29,40,34,11,85,119,102,34,15,21,18,6,15,21,18,6,4,5,4,1
BX0102,BX0102,29,40,34,11,85,119,102,34,15,21,18,6,15,21,18,6,4,5,4,1
BX0301,BX0301,29,40,34,11,85,119,102,34,15,21,18,6,15,21,18,6,4,5,4,1
BX0903,BX0903,40,56,48,16,119,167,143,48,21,29,25,8,21,29,25,8,5,7,6,2
BX0901,BX0901,29,41,35,12,87,122,105,35,15,21,18,6,15,21,18,6,4,5,5,2
BX0903,BX0903,29,41,35,12,87,122,105,35,15,21,18,6,15,21,18,6,4,5,5,2
BX0903,BX0903,11,15,13,4,31,44,38,13,5,8,6,2,5,8,6,2,1,2,2,1
BX0904,BX0904,11,15,13,4,31,44,38,13,5,8,6,2,5,8,6,2,1,2,2,1
BX0903,BX0903,23,32,27,9,67,94,81,27,12,16,14,5,12,16,14,5,3,4,3,1
BX0101,BX0101,28,40,34,11,85,118,101,34,15,20,17,6,15,20,17,6,4,5,4,1
BX0102,BX0102,28,40,34,11,85,118,101,34,15,20,17,6,15,20,17,6,4,5,4,1
BX0102,BX0102,14,19,17,6,41,57,49,16,7,10,8,3,7,10,8,3,2,2,2,1
BX0101,BX0101,33,46,39,13,97,136,117,39,17,23,20,7,17,23,20,7,4,6,5,2
BX0102,BX0102,33,46,39,13,97,136,117,39,17,23,20,7,17,23,20,7,4,6,5,2
BX0902,BX0902,25,35,30,10,74,103,88,29,13,18,15,5,13,18,15,5,3,4,4,1
BX0903,BX0903,25,35,30,10,74,103,88,29,13,18,15,5,13,18,15,5,3,4,4,1
BX0902,BX0902,19,26,23,8,56,79,67,22,10,14,12,4,10,14,12,4,2,3,3,1
BX0903,BX0903,19,26,23,8,56,79,67,22,10,14,12,4,10,14,12,4,2,3,3,1
BX0902,BX0902,21,29,25,8,62,87,75,25,11,15,13,4,11,15,13,4,3,4,3,1
BX0903,BX0903,21,29,25,8,62,87,75,25,11,15,13,4,11,15,13,4,3,4,3,1
BX0102,BX0102,25,34,30,10,73,103,88,29,13,18,15,5,13,18,15,5,3,4,4,1
BX0102,BX0102,42,59,51,17,126,177,152,51,22,30,26,9,22,30,26,9,5,8,7,2
BX0301,BX0301,42,59,51,17,126,177,152,51,22,30,26,9,22,30,26,9,5,8,7,2
BX0102,BX0102,17,24,20,7,50,70,60,20,9,12,10,3,9,12,10,3,2,3,3,1
BX0102,BX0102,9,13,11,4,28,39,34,11,5,7,6,2,5,7,6,2,1,2,1,0
BX0901,BX0901,23,32,27,9,68,95,81,27,12,16,14,5,12,16,14,5,3,4,4,1
BX0901,BX0901,14,20,17,6,43,60,51,17,7,10,9,3,7,10,9,3,2,3,2,1
BX0901,BX0901,27,38,33,11,81,113,97,32,14,20,17,6,14,20,17,6,3,5,4,1
BX0901,BX0901,21,30,26,9,63,89,76,25,11,15,13,4,11,15,13,4,3,4,3,1
BX0901,BX0901,19,27,23,8,58,81,69,23,10,14,12,4,10,14,12,4,2,3,3,1
BX0903,BX0903,19,27,23,8,58,81,69,23,10,14,12,4,10,14,12,4,2,3,3,1
BX0904,BX0904,19,27,23,8,58,81,69,23,10,14,12,4,10,14,12,4,2,3,3,1
BX0102,BX0102,29,40,34,11,85,119,102,34,15,21,18,6,15,21,18,6,4,5,4,1
BX0202,BX0202,29,40,34,11,85,119,102,34,15,21,18,6,15,21,18,6,4,5,4,1
BX0301,BX0301,29,40,34,11,85,119,102,34,15,21,18,6,15,21,18,6,4,5,4,1
BX0903,BX0903,28,40,34,11,84,118,101,34,15,20,17,6,15,20,17,6,4,5,4,1
BX1001,BX1001,28,40,34,11,84,118,101,34,15,20,17,6,15,20,17,6,4,5,4,1
BX0903,BX0903,31,43,37,12,91,127,109,36,16,22,19,6,16,22,19,6,4,5,5,2
BX1001,BX1001,31,43,37,12,91,127,109,36,16,22,19,6,16,22,19,6,4,5,5,2
BX0903,BX0903,17,24,21,7,52,73,62,21,9,13,11,4,9,13,11,4,2,3,3,1
BX0903,BX0903,29,41,35,12,88,123,105,35,15,21,18,6,15,21,18,6,4,5,5,2
BX0102,BX0102,37,51,44,15,109,152,131,44,19,26,23,8,19,26,23,8,5,7,6,2
BX0202,BX0202,37,51,44,15,109,152,131,44,19,26,23,8,19,26,23,8,5,7,6,2
BX0102,BX0102,6,8,7,2,16,23,20,7,3,4,3,1,3,4,3,1,1,1,1,0
BX0202,BX0202,6,8,7,2,16,23,20,7,3,4,3,1,3,4,3,1,1,1,1,0
BX0101,BX0101,20,28,24,8,59,82,70,23,10,14,12,4,10,14,12,4,3,4,3,1
BX0102,BX0102,20,28,24,8,59,82,70,23,10,14,12,4,10,14,12,4,3,4,3,1
BX0202,BX0202,20,28,24,8,59,82,70,23,10,14,12,4,10,14,12,4,3,4,3,1
BX0101,BX0101,24,34,29,10,72,102,87,29,12,18,15,5,12,18,15,5,3,4,4,1
BX0102,BX0102,24,34,29,10,72,102,87,29,12,18,15,5,12,18,15,5,3,4,4,1
BX0102,BX0102,10,13,12,4,29,40,34,11,5,7,6,2,5,7,6,2,1,2,1,0
BX0102,BX0102,21,30,26,9,63,89,76,25,11,15,13,4,11,15,13,4,3,4,3,1
BX0202,BX0202,21,30,26,9,63,89,76,25,11,15,13,4,11,15,13,4,3,4,3,1
BX0102,BX0102,6,9,7,2,18,25,22,7,3,4,4,1,3,4,4,1,1,1,1,0
BX0202,BX0202,6,9,7,2,18,25,22,7,3,4,4,1,3,4,4,1,1,1,1,0
BX0202,BX0202,23,32,27,9,68,95,82,27,12,16,14,5,12,16,14,5,3,4,4,1
BX0101,BX0101,41,58,49,16,122,171,147,49,21,30,25,8,21,30,25,8,5,7,6,2
BX0102,BX0102,41,58,49,16,122,171,147,49,21,30,25,8,21,30,25,8,5,7,6,2
BX0202,BX0202,41,58,49,16,122,171,147,49,21,30,25,8,21,30,25,8,5,7,6,2
BX0202,BX0202,7,10,9,3,22,31,26,9,4,5,5,2,4,5,5,2,1,1,1,0
BX0101,BX0101,8,12,10,3,25,35,30,10,4,6,5,2,4,6,5,2,1,1,1,0
BX0201,BX0201,8,12,10,3,25,35,30,10,4,6,5,2,4,6,5,2,1,1,1,0
BX0202,BX0202,8,12,10,3,25,35,30,10,4,6,5,2,4,6,5,2,1,1,1,0
BX0902,BX0902,19,27,23,8,57,80,68,23,10,14,12,4,10,14,12,4,2,3,3,1
BX0903,BX0903,19,27,23,8,57,80,68,23,10,14,12,4,10,14,12,4,2,3,3,1
BX0902,BX0902,40,56,48,16,118,166,142,47,20,29,24,8,20,29,24,8,5,7,6,2
BX0903,BX0903,40,56,48,16,118,166,142,47,20,29,24,8,20,29,24,8,5,7,6,2
BX0201,BX0201,14,20,17,6,42,59,51,17,7,10,9,3,7,10,9,3,2,3,2,1
BX0202,BX0202,14,20,17,6,42,59,51,17,7,10,9,3,7,10,9,3,2,3,2,1
BX0202,BX0202,34,48,41,14,103,144,123,41,18,25,21,7,18,25,21,7,4,6,5,2
BX0102,BX0102,18,25,21,7,53,74,64,21,9,13,11,4,9,13,11,4,2,3,3,1
BX0202,BX0202,18,25,21,7,53,74,64,21,9,13,11,4,9,13,11,4,2,3,3,1
BX0202,BX0202,4,6,5,2,13,18,15,5,2,3,3,1,2,3,3,1,1,1,1,0
BX0201,BX0201,12,17,15,5,37,51,44,15,6,9,8,3,6,9,8,3,2,2,2,1
BX0202,BX0202,12,17,15,5,37,51,44,15,6,9,8,3,6,9,8,3,2,2,2,1
BX0903,BX0903,17,24,20,7,50,70,60,20,9,12,10,3,9,12,10,3,2,3,3,1
BX0903,BX0903,13,18,16,5,39,54,46,15,7,9,8,3,7,9,8,3,2,2,2,1
BX0903,BX0903,14,19,17,6,41,58,50,17,7,10,9,3,7,10,9,3,2,2,2,1
BX0102,BX0102,41,57,49,16,122,171,147,49,21,29,25,8,21,29,25,8,5,7,6,2
BX0202,BX0202,41,57,49,16,122,171,147,49,21,29,25,8,21,29,25,8,5,7,6,2
BX0201,BX0201,28,39,34,11,84,117,100,33,14,20,17,6,14,20,17,6,4,5,4,1
