variable,description
b01001g_029,estimate_total_female_65 to 74 years
b01001g_030,estimate_total_female_75 to 84 years
b01001g_031,estimate_total_female_85 years and over
b01001h_001,estimate_total
b01001h_002,estimate_total_male
b01001h_003,estimate_total_male_under 5 years
b01001h_004,estimate_total_male_5 to 9 years
b01001h_005,estimate_total_male_10 to 14 years
b01001h_006,estimate_total_male_15 to 17 years
b01001h_007,estimate_total_male_18 and 19 years
b01001h_008,estimate_total_male_20 to 24 years
b01001h_009,estimate_total_male_25 to 29 years
b01001h_010,estimate_total_male_30 to 34 years
b01001h_011,estimate_total_male_35 to 44 years
b01001h_012,estimate_total_male_45 to 54 years
b01001h_013,estimate_total_male_55 to 64 years
b01001h_014,estimate_total_male_65 to 74 years
b01001h_015,estimate_total_male_75 to 84 years
b01001h_016,estimate_total_male_85 years and over
b01001h_017,estimate_total_female
b01001h_018,estimate_total_female_under 5 years
b01001h_019,estimate_total_female_5 to 9 years
b01001h_020,estimate_total_female_10 to 14 years
b01001h_021,estimate_total_female_15 to 17 years
b01001h_022,estimate_total_female_18 and 19 years
b01001h_023,estimate_total_female_20 to 24 years
b01001h_024,estimate_total_female_25 to 29 years
b01001h_025,estimate_total_female_30 to 34 years
b01001h_026,estimate_total_female_35 to 44 years
b01001h_027,estimate_total_female_45 to 54 years
b01001h_028,estimate_total_female_55 to 64 years
b01001h_029,estimate_total_female_65 to 74 years
b01001h_030,estimate_total_female_75 to 84 years
b01001h_031,estimate_total_female_85 years and over
b01001i_001,estimate_total
b01001i_002,estimate_total_male
b01001i_003,estimate_total_male_under 5 years
b01001i_004,estimate_total_male_5 to 9 years
b01001i_005,estimate_total_male_10 to 14 years
b01001i_006,estimate_total_male_15 to 17 years
b01001i_007,estimate_total_male_18 and 19 years
b01001i_008,estimate_total_male_20 to 24 years
b01001i_009,estimate_total_male_25 to 29 years
b01001i_010,estimate_total_male_30 to 34 years
b01001i_011,estimate_total_male_35 to 44 years
b01001i_012,estimate_total_male_45 to 54 years
b01001i_013,estimate_total_male_55 to 64 years
b01001i_014,estimate_total_male_65 to 74 years
b01001i_015,estimate_total_male_75 to 84 years
b01001i_016,estimate_total_male_85 years and over
b01001i_017,estimate_total_female
b01001i_018,estimate_total_female_under 5 years
b01001i_019,estimate_total_female_5 to 9 years
b01001i_020,estimate_total_female_10 to 14 years
b01001i_021,estimate_total_female_15 to 17 years
b01001i_022,estimate_total_female_18 and 19 years
b01001i_023,estimate_total_female_20 to 24 years
b01001i_024,estimate_total_female_25 to 29 years
b01001i_025,estimate_total_female_30 to 34 years
b01001i_026,estimate_total_female_35 to 44 years
b01001i_027,estimate_total_female_45 to 54 years
b01001i_028,estimate_total_female_55 to 64 years
b01001i_029,estimate_total_female_65 to 74 years
b01001i_030,estimate_total_female_75 to 84 years
b01001i_031,estimate_total_female_85 years and over
b01001_001,estimate_total
b01001_002,estimate_total_male
b01001_003,estimate_total_male_under 5 years
b01001_004,estimate_total_male_5 to 9 years
b01001_005,estimate_total_male_10 to 14 years
b01001_006,estimate_total_male_15 to 17 years
b01001_007,estimate_total_male_18 and 19 years
b01001_008,estimate_total_male_20 years
b01001_009,estimate_total_male_21 years
b01001_010,estimate_total_male_22 to 24 years
b01001_011,estimate_total_male_25 to 29 years
b01001_012,estimate_total_male_30 to 34 years
b01001_013,estimate_total_male_35 to 39 years
b01001_014,estimate_total_male_40 to 44 years
b01001_015,estimate_total_male_45 to 49 years
b01001_016,estimate_total_male_50 to 54 years
b01001_017,estimate_total_male_55 to 59 years
b01001_018,estimate_total_male_60 and 61 years
b01001_019,estimate_total_male_62 to 64 years
b01001_020,estimate_total_male_65 and 66 years
b01001_021,estimate_total_male_67 to 69 years
b01001_022,estimate_total_male_70 to 74 years
b01001_023,estimate_total_male_75 to 79 years
b01001_024,estimate_total_male_80 to 84 years
b01001_025,estimate_total_male_85 years and over
b01001_026,estimate_total_female
b01001_027,estimate_total_female_under 5 years
b01001_028,estimate_total_female_5 to 9 years
b01001_029,estimate_total_female_10 to 14 years
b01001_030,estimate_total_female_15 to 17 years
b01001_031,estimate_total_female_18 and 19 years
b01001_032,estimate_total_female_20 years
b01001_033,estimate_total_female_21 years
b01001_034,estimate_total_female_22 to 24 years
b01001_035,estimate_total_female_25 to 29 years
b01001_036,estimate_total_female_30 to 34 years
b01001_037,estimate_total_female_35 to 39 years
b01001_038,estimate_total_female_40 to 44 years
b01001_039,estimate_total_female_45 to 49 years
b01001_040,estimate_total_female_50 to 54 years
b01001_041,estimate_total_female_55 to 59 years
b01001_042,estimate_total_female_60 and 61 years
b01001_043,estimate_total_female_62 to 64 years
b01001_044,estimate_total_female_65 and 66 years
b01001_045,estimate_total_female_67 to 69 years
b01001_046,estimate_total_female_70 to 74 years
b01001_047,estimate_total_female_75 to 79 years
b01001_048,estimate_total_female_80 to 84 years
b01001_049,estimate_total_female_85 years and over
b01003_001,estimate_total
b02001_001,estimate_total
b02001_002,estimate_total_white alone
b02001_003,estimate_total_black or african american alone
b02001_004,estimate_total_american indian and alaska native alone
b02001_005,estimate_total_asian alone
b02001_006,estimate_total_native hawaiian and other pacific islander alone
b02001_007,estimate_total_some other race alone
b02001_008,estimate_total_two or more races
b02001_009,estimate_total_two or more races_two races including some other race
b02001_010,"estimate_total_two or more races_two races excluding some other race, and three or more races"
b03002_001,estimate_total
b03002_002,estimate_total_not hispanic or latino
b03002_003,estimate_total_not hispanic or latino_white alone
b03002_004,estimate_total_not hispanic or latino_black or african american alone
b03002_005,estimate_total_not hispanic or latino_american indian and alaska native alone
b03002_006,estimate_total_not hispanic or latino_asian alone
b03002_007,estimate_total_not hispanic or latino_native hawaiian and other pacific islander alone
b03002_008,estimate_total_not hispanic or latino_some other race alone
b03002_009,estimate_total_not hispanic or latino_two or more races
b03002_010,estimate_total_not hispanic or latino_two or more races_two races including some other race
b03002_011,"estimate_total_not hispanic or latino_two or more races_two races excluding some other race, and three or more races"
b03002_012,estimate_total_hispanic or latino
b03002_013,estimate_total_hispanic or latino_white alone
b03002_014,estimate_total_hispanic or latino_black or african american alone
b03002_015,estimate_total_hispanic or latino_american indian and alaska native alone
b03002_016,estimate_total_hispanic or latino_asian alone
b03002_017,estimate_total_hispanic or latino_native hawaiian and other pacific islander alone
b03002_018,estimate_total_hispanic or latino_some other race alone
b03002_019,estimate_total_hispanic or latino_two or more races
b03002_020,estimate_total_hispanic or latino_two or more races_two races including some other race
b03002_021,"estimate_total_hispanic or latino_two or more races_two races excluding some other race, and three or more races"
b08134_001,estimate_total
b08134_002,estimate_total_less than 10 minutes
b08134_003,estimate_total_10 to 14 minutes
b08134_004,estimate_total_15 to 19 minutes
b08134_005,estimate_total_20 to 24 minutes
b08134_006,estimate_total_25 to 29 minutes
b08134_007,estimate_total_30 to 34 minutes
b08134_008,estimate_total_35 to 44 minutes
b08134_009,estimate_total_45 to 59 minutes
b08134_010,estimate_total_60 or more minutes
b08134_011,"estimate_total_car, truck, or van"
b08134_012,"estimate_total_car, truck, or van_less than 10 minutes"
b08134_013,"estimate_total_car, truck, or van_10 to 14 minutes"
b08134_014,"estimate_total_car, truck, or van_15 to 19 minutes"
b08134_015,"estimate_total_car, truck, or van_20 to 24 minutes"
b08134_016,"estimate_total_car, truck, or van_25 to 29 minutes"
b08134_017,"estimate_total_car, truck, or van_30 to 34 minutes"
b08134_018,"estimate_total_car, truck, or van_35 to 44 minutes"
b08134_019,"estimate_total_car, truck, or van_45 to 59 minutes"
b08134_020,"estimate_total_car, truck, or van_60 or more minutes"
b08134_021,"estimate_total_car, truck, or van_drove alone"
b08134_022,"estimate_total_car, truck, or van_drove alone_less than 10 minutes"
b08134_023,"estimate_total_car, truck, or van_drove alone_10 to 14 minutes"
b08134_024,"estimate_total_car, truck, or van_drove alone_15 to 19 minutes"
b08134_025,"estimate_total_car, truck, or van_drove alone_20 to 24 minutes"
b08134_026,"estimate_total_car, truck, or van_drove alone_25 to 29 minutes"
b08134_027,"estimate_total_car, truck, or van_drove alone_30 to 34 minutes"
b08134_028,"estimate_total_car, truck, or van_drove alone_35 to 44 minutes"
b08134_029,"estimate_total_car, truck, or van_drove alone_45 to 59 minutes"
b08134_030,"estimate_total_car, truck, or van_drove alone_60 or more minutes"
b08134_031,"estimate_total_car, truck, or van_carpooled"
b08134_032,"estimate_total_car, truck, or van_carpooled_less than 10 minutes"
b08134_033,"estimate_total_car, truck, or van_carpooled_10 to 14 minutes"
b08134_034,"estimate_total_car, truck, or van_carpooled_15 to 19 minutes"
b08134_035,"estimate_total_car, truck, or van_carpooled_20 to 24 minutes"
b08134_036,"estimate_total_car, truck, or van_carpooled_25 to 29 minutes"
b08134_037,"estimate_total_car, truck, or van_carpooled_30 to 34 minutes"
b08134_038,"estimate_total_car, truck, or van_carpooled_35 to 44 minutes"
b08134_039,"estimate_total_car, truck, or van_carpooled_45 to 59 minutes"
b08134_040,"estimate_total_car, truck, or van_carpooled_60 or more minutes"
b08134_041,"estimate_total_car, truck, or van_carpooled_in 2-person carpool"
b08134_042,"estimate_total_car, truck, or van_carpooled_in 2-person carpool_less than 10 minutes"
b08134_043,"estimate_total_car, truck, or van_carpooled_in 2-person carpool_10 to 14 minutes"
b08134_044,"estimate_total_car, truck, or van_carpooled_in 2-person carpool_15 to 19 minutes"
b08134_045,"estimate_total_car, truck, or van_carpooled_in 2-person carpool_20 to 24 minutes"
b08134_046,"estimate_total_car, truck, or van_carpooled_in 2-person carpool_25 to 29 minutes"
b08134_047,"estimate_total_car, truck, or van_carpooled_in 2-person carpool_30 to 34 minutes"
b08134_048,"estimate_total_car, truck, or van_carpooled_in 2-person carpool_35 to 44 minutes"
b08134_049,"estimate_total_car, truck, or van_carpooled_in 2-person carpool_45 to 59 minutes"
b08134_050,"estimate_total_car, truck, or van_carpooled_in 2-person carpool_60 or more minutes"
b08134_051,"estimate_total_car, truck, or van_carpooled_in 3-or-more-person carpool"
b08134_052,"estimate_total_car, truck, or van_carpooled_in 3-or-more-person carpool_less than 10 minutes"
b08134_053,"estimate_total_car, truck, or van_carpooled_in 3-or-more-person carpool_10 to 14 minutes"
b08134_054,"estimate_total_car, truck, or van_carpooled_in 3-or-more-person carpool_15 to 19 minutes"
b08134_055,"estimate_total_car, truck, or van_carpooled_in 3-or-more-person carpool_20 to 24 minutes"
b08134_056,"estimate_total_car, truck, or van_carpooled_in 3-or-more-person carpool_25 to 29 minutes"
b08134_057,"estimate_total_car, truck, or van_carpooled_in 3-or-more-person carpool_30 to 34 minutes"
b08134_058,"estimate_total_car, truck, or van_carpooled_in 3-or-more-person carpool_35 to 44 minutes"
b08134_059,"estimate_total_car, truck, or van_carpooled_in 3-or-more-person carpool_45 to 59 minutes"
b08134_060,"estimate_total_car, truck, or van_carpooled_in 3-or-more-person carpool_60 or more minutes"
b08134_061,estimate_total_public transportation (excluding taxicab)
b08134_062,estimate_total_public transportation (excluding taxicab)_less than 10 minutes
b08134_063,estimate_total_public transportation (excluding taxicab)_10 to 14 minutes
b08134_064,estimate_total_public transportation (excluding taxicab)_15 to 19 minutes
b08134_065,estimate_total_public transportation (excluding taxicab)_20 to 24 minutes
b08134_066,estimate_total_public transportation (excluding taxicab)_25 to 29 minutes
b08134_067,estimate_total_public transportation (excluding taxicab)_30 to 34 minutes
b08134_068,estimate_total_public transportation (excluding taxicab)_35 to 44 minutes
b08134_069,estimate_total_public transportation (excluding taxicab)_45 to 59 minutes
b08134_070,estimate_total_public transportation (excluding taxicab)_60 or more minutes
b08134_071,estimate_total_public transportation (excluding taxicab)_bus or trolley bus
b08134_072,estimate_total_public transportation (excluding taxicab)_bus or trolley bus_less than 10 minutes
b08134_073,estimate_total_public transportation (excluding taxicab)_bus or trolley bus_10 to 14 minutes
b08134_074,estimate_total_public transportation (excluding taxicab)_bus or trolley bus_15 to 19 minutes
b08134_075,estimate_total_public transportation (excluding taxicab)_bus or trolley bus_20 to 24 minutes
b08134_076,estimate_total_public transportation (excluding taxicab)_bus or trolley bus_25 to 29 minutes
b08134_077,estimate_total_public transportation (excluding taxicab)_bus or trolley bus_30 to 34 minutes
b08134_078,estimate_total_public transportation (excluding taxicab)_bus or trolley bus_35 to 44 minutes
b08134_079,estimate_total_public transportation (excluding taxicab)_bus or trolley bus_45 to 59 minutes
b08134_080,estimate_total_public transportation (excluding taxicab)_bus or trolley bus_60 or more minutes
b08134_081,"estimate_total_public transportation (excluding taxicab)_streetcar or trolley car (carro publico in puerto rico), subway or elevated"
b08134_082,"estimate_total_public transportation (excluding taxicab)_streetcar or trolley car (carro publico in puerto rico), subway or elevated_less than 10 minutes"
b08134_083,"estimate_total_public transportation (excluding taxicab)_streetcar or trolley car (carro publico in puerto rico), subway or elevated_10 to 14 minutes"
b08134_084,"estimate_total_public transportation (excluding taxicab)_streetcar or trolley car (carro publico in puerto rico), subway or elevated_15 to 19 minutes"
b08134_085,"estimate_total_public transportation (excluding taxicab)_streetcar or trolley car (carro publico in puerto rico), subway or elevated_20 to 24 minutes"
b08134_086,"estimate_total_public transportation (excluding taxicab)_streetcar or trolley car (carro publico in puerto rico), subway or elevated_25 to 29 minutes"
b08134_087,"estimate_total_public transportation (excluding taxicab)_streetcar or trolley car (carro publico in puerto rico), subway or elevated_30 to 34 minutes"
b08134_088,"estimate_total_public transportation (excluding taxicab)_streetcar or trolley car (carro publico in puerto rico), subway or elevated_35 to 44 minutes"
b08134_089,"estimate_total_public transportation (excluding taxicab)_streetcar or trolley car (carro publico in puerto rico), subway or elevated_45 to 59 minutes"
b08134_090,"estimate_total_public transportation (excluding taxicab)_streetcar or trolley car (carro publico in puerto rico), subway or elevated_60 or more minutes"
b08134_091,estimate_total_public transportation (excluding taxicab)_railroad or ferryboat
b08134_092,estimate_total_public transportation (excluding taxicab)_railroad or ferryboat_less than 10 minutes
b08134_093,estimate_total_public transportation (excluding taxicab)_railroad or ferryboat_10 to 14 minutes
b08134_094,estimate_total_public transportation (excluding taxicab)_railroad or ferryboat_15 to 19 minutes
b08134_095,estimate_total_public transportation (excluding taxicab)_railroad or ferryboat_20 to 24 minutes
b08134_096,estimate_total_public transportation (excluding taxicab)_railroad or ferryboat_25 to 29 minutes
b08134_097,estimate_total_public transportation (excluding taxicab)_railroad or ferryboat_30 to 34 minutes
b08134_098,estimate_total_public transportation (excluding taxicab)_railroad or ferryboat_35 to 44 minutes
b08134_099,estimate_total_public transportation (excluding taxicab)_railroad or ferryboat_45 to 59 minutes
b08134_100,estimate_total_public transportation (excluding taxicab)_railroad or ferryboat_60 or more minutes
b08134_101,estimate_total_walked
b08134_102,estimate_total_walked_less than 10 minutes
b08134_103,estimate_total_walked_10 to 14 minutes
b08134_104,estimate_total_walked_15 to 19 minutes
b08134_105,estimate_total_walked_20 to 24 minutes
b08134_106,estimate_total_walked_25 to 29 minutes
b08134_107,estimate_total_walked_30 to 34 minutes
b08134_108,estimate_total_walked_35 to 44 minutes
b08134_109,estimate_total_walked_45 to 59 minutes
b08134_110,estimate_total_walked_60 or more minutes
b08134_111,"estimate_total_taxicab, motorcycle, bicycle, or other means"
b08134_112,"estimate_total_taxicab, motorcycle, bicycle, or other means_less than 10 minutes"
b08134_113,"estimate_total_taxicab, motorcycle, bicycle, or other means_10 to 14 minutes"
b08134_114,"estimate_total_taxicab, motorcycle, bicycle, or other means_15 to 19 minutes"
b08134_115,"estimate_total_taxicab, motorcycle, bicycle, or other means_20 to 24 minutes"
b08134_116,"estimate_total_taxicab, motorcycle, bicycle, or other means_25 to 29 minutes"
b08134_117,"estimate_total_taxicab, motorcycle, bicycle, or other means_30 to 34 minutes"
b08134_118,"estimate_total_taxicab, motorcycle, bicycle, or other means_35 to 44 minutes"
b08134_119,"estimate_total_taxicab, motorcycle, bicycle, or other means_45 to 59 minutes"
b08134_120,"estimate_total_taxicab, motorcycle, bicycle, or other means_60 or more minutes"
b08201_001,estimate_total
b08201_002,estimate_total_no vehicle available
b08201_003,estimate_total_1 vehicle available
b08201_004,estimate_total_2 vehicles available
b08201_005,estimate_total_3 vehicles available
b08201_006,estimate_total_4 or more vehicles available
b08201_007,estimate_total_1-person household
b08201_008,estimate_total_1-person household_no vehicle available
b08201_009,estimate_total_1-person household_1 vehicle available
b08201_010,estimate_total_1-person household_2 vehicles available
b08201_011,estimate_total_1-person household_3 vehicles available
b08201_012,estimate_total_1-person household_4 or more vehicles available
b08201_013,estimate_total_2-person household
b08201_014,estimate_total_2-person household_no vehicle available
b08201_015,estimate_total_2-person household_1 vehicle available
b08201_016,estimate_total_2-person household_2 vehicles available
b08201_017,estimate_total_2-person household_3 vehicles available
b08201_018,estimate_total_2-person household_4 or more vehicles available
b08201_019,estimate_total_3-person household
b08201_020,estimate_total_3-person household_no vehicle available
b08201_021,estimate_total_3-person household_1 vehicle available
b08201_022,estimate_total_3-person household_2 vehicles available
b08201_023,estimate_total_3-person household_3 vehicles available
b08201_024,estimate_total_3-person household_4 or more vehicles available
b08201_025,estimate_total_4-or-more-person household
b08201_026,estimate_total_4-or-more-person household_no vehicle available
b08201_027,estimate_total_4-or-more-person household_1 vehicle available
b08201_028,estimate_total_4-or-more-person household_2 vehicles available
b08201_029,estimate_total_4-or-more-person household_3 vehicles available
b08201_030,estimate_total_4-or-more-person household_4 or more vehicles available
b08301_001,estimate_total
b08301_002,"estimate_total_car, truck, or van"
b08301_003,"estimate_total_car, truck, or van_drove alone"
b08301_004,"estimate_total_car, truck, or van_carpooled"
b08301_005,"estimate_total_car, truck, or van_carpooled_in 2-person carpool"
b08301_006,"estimate_total_car, truck, or van_carpooled_in 3-person carpool"
b08301_007,"estimate_total_car, truck, or van_carpooled_in 4-person carpool"
b08301_008,"estimate_total_car, truck, or van_carpooled_in 5- or 6-person carpool"
b08301_009,"estimate_total_car, truck, or van_carpooled_in 7-or-more-person carpool"
b08301_010,estimate_total_public transportation (excluding taxicab)
b08301_011,estimate_total_public transportation (excluding taxicab)_bus or trolley bus
b08301_012,estimate_total_public transportation (excluding taxicab)_streetcar or trolley car (carro publico in puerto rico)
b08301_013,estimate_total_public transportation (excluding taxicab)_subway or elevated
b08301_014,estimate_total_public transportation (excluding taxicab)_railroad
b08301_015,estimate_total_public transportation (excluding taxicab)_ferryboat
b08301_016,estimate_total_taxicab
b08301_017,estimate_total_motorcycle
b08301_018,estimate_total_bicycle
b08301_019,estimate_total_walked
b08301_020,estimate_total_other means
b08301_021,estimate_total_worked at home
b08303_001,estimate_total
b08303_002,estimate_total_less than 5 minutes
